aod_055_mean,aod_055_median,aod_055_point,date,pixel_count
0.2632435444374386,0.2823604852686309,0.368,2022-02-04,266
0.3450559233051815,0.34900000000000003,,2022-02-04,17
0.12890256923590263,0.14300000000000002,,2022-02-06,12
0.19870542635658917,0.231,,2022-02-06,5
0.35485319244604313,0.374,,2022-02-09,34
0.3554351781652768,0.34400000000000003,,2022-02-09,15
0.3034298563760337,0.301,,2022-02-10,27
0.2256657298885445,0.19899999999999998,,2022-02-10,123
0.3115,0.297,,2022-02-10,8
0.23839283628576993,0.233,,2022-02-10,101
0.2721535996795834,0.263,,2022-02-13,39
0.2888350129570976,0.28200000000000003,,2022-02-13,14
0.20624354652282803,0.20700000000000005,0.23700000000000002,2022-02-14,162
0.24259581329893276,0.245,0.263,2022-02-14,134
0.044905324291304415,0.03475000000000001,,2022-02-15,220
0.1233661660777385,0.057,,2022-02-15,7
0.17189217773047746,0.15933333333333333,0.335,2022-02-15,234
0.13689723320158104,0.17500000000000002,,2022-02-15,3
0.24697907591785942,0.246,0.336,2022-02-16,50
0.16954384164222874,0.17,,2022-02-16,53
0.25971111310110145,0.264,,2022-02-16,44
0.20285375970029426,0.201,,2022-02-16,58
0.2428992765720646,0.229,,2022-02-17,14
0.25115813424345845,0.243,,2022-02-17,7
0.25896111786148246,0.253,,2022-02-18,37
0.3424200075642965,0.334,,2022-02-18,21
0.368221020282729,0.381,,2022-02-18,33
0.341,0.3215,,2022-02-18,20
0.32473308147174773,0.336,,2022-02-22,24
0.242,0.242,,2022-02-24,4
0.07698252324037183,0.07900000000000001,,2022-02-26,147
0.1818360950802811,0.178,,2022-02-26,137
0.19737334041423266,0.20927038626609443,0.259,2022-02-26,170
0.22878112793805258,0.23500000000000001,,2022-02-26,114
0.009460441018835156,0.008,0.012,2022-02-27,306
0.17473933333333333,0.163,,2022-02-27,5
0.14780068506686,0.1356,0.136,2022-02-27,296
0.18206923751095533,0.184,,2022-02-27,4
0.2950717779740471,0.3,,2022-02-28,115
0.3097331388990157,0.312,,2022-02-28,108
0.4061370558375636,0.41400000000000003,,2022-03-01,4
0.22458933801991804,0.23700000000000002,,2022-03-01,8
0.30277134986225895,0.296,,2022-03-01,3
0.25139471476510067,0.266,,2022-03-01,10
0.21556221151663424,0.20700000000000002,,2022-03-03,153
0.37615561062921643,0.368,,2022-03-03,142
0.5509596147048427,0.552,0.592,2022-03-04,178
0.6112589239254862,0.6024999999999999,0.624,2022-03-04,225
0.4126,0.41400000000000003,,2022-03-05,5
0.1680645731266565,0.175,,2022-03-06,95
0.2759129832340307,0.25033333333333335,,2022-03-06,110
0.37840371229698366,0.387,,2022-03-07,46
0.5142489245093992,0.5225,,2022-03-07,67
0.025040712921705927,0.014000000000000002,0.024,2022-03-08,307
0.25643456823569266,0.24398553054662375,0.341,2022-03-08,288
0.5455748881284549,0.529,,2022-03-10,43
0.9494711781459341,0.9560000000000001,,2022-03-10,97
0.5660841256311062,0.5670000000000001,,2022-03-11,60
0.6533595019427766,0.666,,2022-03-11,89
0.37146286358820113,0.367,0.402,2022-03-13,117
0.2593486111111111,0.261,,2022-03-13,6
0.40476812219005975,0.4120000000000001,0.43,2022-03-13,64
0.3038763966480446,0.296,,2022-03-15,61
0.33272526457845014,0.335,,2022-03-15,56
0.3985611608881963,0.402,,2022-03-15,19
0.3499324698526128,0.343,,2022-03-15,44
0.29295798429319364,0.336,,2022-03-17,29
0.33192064439140817,0.34800000000000003,,2022-03-17,6
0.15764911893525288,0.18019999999999997,,2022-03-19,230
0.3738021849395239,0.371,,2022-03-19,10
