date,1,2,3,4,5,6,PM25_diff
2021-04-15 06:00:00,28.08666667,21.47,33.14,37.575,14.76833333,18.99833333,22.806666670000002
2021-04-15 07:00:00,27.5326087,27.274,40.41052632,34.09565217,17.97391304,26.26041667,22.436613280000003
2021-04-16 01:00:00,15.37666667,20.4,16.74,18.84166667,12.82666667,16.74655172,7.573333329999999
2021-04-16 02:00:00,25.32666667,17.89666667,16.25,19.95833333,12.20833333,14.73666667,13.118333340000001
2021-04-16 03:00:00,18.53333333,14.52333333,14.87,20.26666667,13.55,15.57333333,6.716666669999999
2021-04-16 04:00:00,28.2375,14.30555556,13.99411765,20.38571429,13.95333333,13.13157895,15.105921050000001
2021-04-19 07:00:00,39.26,27.98333333,34.96,38.015,19.07333333,21.78,20.186666669999997
2021-04-19 08:00:00,26.32166667,18.67,26.84166667,28.27333333,20.06,17.46166667,10.81166666
2021-04-19 09:00:00,25.69,17.53666667,24.945,29.42666667,21.38,19.75333333,11.89
2021-04-19 10:00:00,27.63666667,18.68166667,30.04666667,26.31333333,20.75666667,20.42833333,11.365000000000002
2021-04-19 11:00:00,25.91333333,19.175,32.14333333,25.46333333,21.55333333,21.81833333,12.968333329999997
2021-04-19 12:00:00,23.495,18.84833333,28.42666667,23.68666667,20.615,22.45666667,9.57833334
2021-04-19 13:00:00,26.165,18.93333333,27.05166667,23.5,20.17666667,23.20833333,8.11833334
2021-04-19 14:00:00,22.85166667,20.69166667,26.87666667,24.695,21.525,22.21166667,6.184999999999999
2021-04-19 15:00:00,21.97833333,20.47666667,24.64166667,26.31666667,18.00333333,19.645,8.31333334
2021-04-19 16:00:00,18.97,14.615,18.045,23.16166667,15.045,15.75384615,8.546666669999999
2021-04-19 17:00:00,19.68833333,15.17833333,19.86333333,19.14,14.525,15.84166667,5.338333329999999
2021-04-19 18:00:00,20.17833333,21.19833333,28.26166667,20.73666667,16.05,15.295,12.96666667
2021-04-19 19:00:00,27.475,18.28166667,29.88666667,25.06333333,15.14833333,17.76166667,14.73833334
2021-04-19 20:00:00,31.60166667,17.55833333,36.005,22.97166667,15.42666667,17.46333333,20.578333330000003
2021-04-19 21:00:00,31.22,21.56923077,31.53,20.76833333,15.51333333,17.38166667,16.01666667
2021-04-19 22:00:00,37.89666667,18.765,29.11166667,20.24166667,14.86166667,17.72166667,23.035000000000004
2021-04-19 23:00:00,37.74166667,19.98833333,39.69333333,20.37833333,15.29666667,17.145,24.39666666
2021-04-20 00:00:00,34.17166667,26.03833333,57.87666667,21.1,14.625,18.57166667,43.25166667
2021-04-20 01:00:00,26.89166667,21.19482759,32.97413793,23.79333333,14.45833333,17.595,18.515804599999996
2021-04-20 02:00:00,22.695,21.975,30.75,25.37833333,16.50833333,17.08,14.24166667
2021-04-20 03:00:00,26.705,20.72333333,25.55,25.5,15.12,20.81833333,11.584999999999999
2021-04-20 04:00:00,38.31,19.78666667,18.78833333,29.13166667,13.49166667,16.595,24.81833333
2021-04-20 05:00:00,44.67833333,22.405,19.23,29.88666667,15.02166667,16.52833333,29.65666666
2021-04-20 06:00:00,51.19166667,25.02166667,24.045,33.84333333,18.20833333,17.66166667,33.53
2021-04-20 07:00:00,40.94,19.315,23.63666667,40.09,16.95166667,16.38166667,24.558333329999996
2021-04-20 08:00:00,33.035,17.39833333,21.94666667,24.245,17.24166667,16.87666667,16.158333329999998
2021-04-20 09:00:00,21.08666667,15.965,22.5490566,22.725,17.42166667,15.99661017,6.760000000000002
2021-04-20 10:00:00,18.87,15.69666667,23.93833333,20.225,21.14166667,17.72,8.241666659999998
2021-04-20 11:00:00,20.44833333,15.50166667,18.15,25.915,19.42166667,17.48474576,10.413333329999999
2021-04-20 12:00:00,20.565,13.86833333,13.77333333,19.58166667,16.48,15.84833333,6.7916666700000015
2021-04-20 13:00:00,19.165,13.19,14.39166667,16.62166667,16.26833333,15.52666667,5.975
2021-04-20 14:00:00,19.34666667,13.06603774,15.76166667,17.56,17.42333333,17.21,6.280628930000001
2021-04-20 15:00:00,25.10166667,13.79666667,18.78833333,22.18333333,17.81833333,17.81166667,11.305
2021-04-20 16:00:00,21.44166667,20.87333333,26.435,22.94,21.08166667,21.45833333,5.5616666699999975
2021-04-20 17:00:00,22.64,26.97333333,34.735,26.41333333,22.56333333,24.74,12.17166667
2021-04-20 18:00:00,22.66166667,24.59433962,42.18,26.19166667,20.80833333,21.81833333,21.37166667
2021-04-20 19:00:00,18.01666667,21.68,29.76923077,25.61166667,17.285,24.315,12.48423077
2021-04-20 20:00:00,23.21833333,22.05833333,24.685,26.48333333,16.25833333,22.99833333,10.225000000000001
2021-04-20 21:00:00,19.57,19.43166667,22.51,26.61,16.78,19.295,9.829999999999998
2021-04-20 22:00:00,16.40666667,18.35666667,17.265,23.66166667,14.75833333,17.30666667,8.90333334
2021-04-20 23:00:00,17.37166667,16.78333333,18.76666667,24.53333333,15.05,18.25666667,9.48333333
2021-04-21 00:00:00,16.30666667,16.65333333,20.18,27.915,13.87666667,16.88,14.038333329999999
2021-04-21 01:00:00,15.16,17.41034483,21.46034483,27.74166667,13.03,15.66,14.711666670000001
2021-04-21 02:00:00,14.00333333,19.37666667,20.99333333,23.43833333,12.22,15.92166667,11.218333329999998
2021-04-21 03:00:00,13.5,20.34,21.77833333,23.65333333,12.01833333,15.57166667,11.634999999999998
2021-04-21 04:00:00,15.99333333,19.335,27.28666667,24.69666667,13.34,17.085,13.946666669999999
2021-04-21 05:00:00,16.56166667,25.16333333,36.57,24.97166667,14.19333333,18.285,22.37666667
2021-04-21 06:00:00,19.25166667,34.87,47.74,22.05833333,15.18166667,18.755,32.55833333
2021-04-21 07:00:00,18.85666667,29.81166667,41.24833333,22.15,13.85166667,19.19,27.39666666
2021-04-21 08:00:00,18.65666667,23.40833333,32.90333333,20.065,15.06833333,18.1,17.835
2021-04-21 09:00:00,18.15,17.25,40.87333333,21.32166667,17.72666667,19.21,23.62333333
2021-04-21 10:00:00,24.12833333,15.375,22.43,27.04833333,18.75,20.29,11.673333329999998
2021-04-21 11:00:00,26.31833333,14.415,19.39666667,24.06833333,20.26666667,21.6862069,11.903333330000002
2021-04-21 12:00:00,20.005,12.04333333,14.29622642,17.05833333,17.05,14.96833333,7.96166667
2021-04-21 13:00:00,17.50166667,12.74,16.43333333,15.6,16.63166667,14.935,4.7616666699999985
2021-04-21 14:00:00,15.925,14.33666667,14.92641509,18.36833333,18.435,15.38166667,4.098333329999999
