time,latitude,longitude,number_x,expver_x,u10,v10,d2m,t2m,blh,number_y,expver_y,avg_tprate,number,expver,tp,ssrd
2021-02-03 13:00:00,10.8,106.7,0,1,-2.0169277,3.0008965,294.69922,298.8557,315.91187,0,1,0.0,0,1,0.0,0.0
2021-02-03 14:00:00,10.8,106.7,0,1,-2.033307,2.078559,294.38818,298.28296,286.10547,0,1,0.0,0,1,0.0,0.0
2021-02-03 15:00:00,10.8,106.7,0,1,-1.6565266,1.0653772,294.844,298.635,254.84187,0,1,0.0,0,1,0.0,0.0
2021-02-03 16:00:00,10.8,106.7,0,1,-1.3407793,0.19039965,294.6377,298.6172,182.71358,0,1,0.0,0,1,0.0,0.0
2021-02-03 17:00:00,10.8,106.7,0,1,-0.87218136,-0.41428614,293.78296,296.86108,90.75336,0,1,0.0,0,1,0.0,0.0
2021-02-03 18:00:00,10.8,106.7,0,1,0.015540972,-0.2752475,293.26294,296.5315,49.82309,0,1,0.0,0,1,0.0,0.0
2021-02-03 19:00:00,10.8,106.7,0,1,0.48789436,-0.3177029,293.14087,296.8457,34.92601,0,1,0.0,0,1,0.0,0.0
2021-02-03 20:00:00,10.8,106.7,0,1,0.8253564,-0.59657085,293.25854,295.97046,43.49707,0,1,0.0,0,1,0.0,0.0
2021-02-03 21:00:00,10.8,106.7,0,1,0.9577617,-0.77329427,293.93726,296.2932,51.651398,0,1,0.0,0,1,0.0,0.0
2021-02-03 22:00:00,10.8,106.7,0,1,1.0582771,-0.40611613,293.8103,295.62842,54.953613,0,1,0.0,0,1,0.0,0.0
2021-02-03 23:00:00,10.8,106.7,0,1,1.0027561,-0.525312,293.56226,295.20996,61.955048,0,1,0.0,0,1,0.0,0.0
2021-02-04 00:00:00,10.8,106.7,0,1,1.3327932,-0.7191515,293.57373,295.6709,103.478165,0,1,0.0,0,1,0.0,104614.625
2021-02-04 01:00:00,10.8,106.7,0,1,1.3576174,-1.0085402,293.4807,296.99048,326.5,0,1,0.0,0,1,0.0,749158.56
2021-02-04 02:00:00,10.8,106.7,0,1,1.4527111,-0.9162617,292.44092,300.29053,543.66797,0,1,0.0,0,1,0.0,1599808.0
2021-02-04 03:00:00,10.8,106.7,0,1,1.7569666,-0.82284456,291.85132,300.71875,707.136,0,1,0.0,0,1,0.0,2311910.0
2021-02-04 04:00:00,10.8,106.7,0,1,1.8438101,-0.71825683,292.40698,301.61182,1022.41455,0,1,0.0,0,1,0.0,2892903.0
2021-02-04 05:00:00,10.8,106.7,0,1,1.3366413,-0.5852144,293.6975,303.84082,1320.6487,0,1,0.0,0,1,0.0,3197505.0
2021-02-04 06:00:00,10.8,106.7,0,1,0.34986526,-0.41018504,292.8982,304.34937,1564.6755,0,1,0.0,0,1,0.0,3184052.0
2021-02-04 07:00:00,10.8,106.7,0,1,-0.5404765,-0.2590654,293.01733,305.05713,1803.2444,0,1,0.0,0,1,0.0,2717344.0
2021-02-04 08:00:00,10.8,106.7,0,1,-0.3800236,-0.029978376,292.75122,304.6223,1387.1038,0,1,0.0,0,1,0.0,1727956.0
2021-02-04 09:00:00,10.8,106.7,0,1,-0.13350374,0.7721262,292.34692,304.41357,1124.8904,0,1,2.3837899e-08,0,1,9.5351595e-08,771237.25
2021-02-04 10:00:00,10.8,106.7,0,1,0.07552308,1.6092606,294.04224,302.2207,484.31323,0,1,0.0,0,1,0.0,360955.8
2021-02-04 11:00:00,10.8,106.7,0,1,-0.11683726,2.0895205,293.93823,301.54346,244.42244,0,1,0.0,0,1,0.0,171203.19
2021-02-04 12:00:00,10.8,106.7,0,1,-0.6448103,2.6788034,294.73828,301.0974,241.18388,0,1,0.0,0,1,0.0,0.0
2021-02-04 13:00:00,10.8,106.7,0,1,-0.73984176,2.7149067,294.75708,300.44946,225.21059,0,1,0.0,0,1,0.0,0.0
2021-02-04 14:00:00,10.8,106.7,0,1,-0.5094631,2.3872337,295.71387,300.083,205.73,0,1,0.0,0,1,0.0,0.0
2021-02-04 15:00:00,10.8,106.7,0,1,-0.18158954,1.7262459,295.5703,300.02563,171.16566,0,1,0.0,0,1,0.0,0.0
2021-02-04 16:00:00,10.8,106.7,0,1,-0.070045054,1.2072744,295.51978,299.95776,121.94685,0,1,0.0,0,1,0.0,0.0
2021-02-04 17:00:00,10.8,106.7,0,1,0.030864567,0.52426934,296.8286,299.07764,73.8376,0,1,0.0,0,1,0.0,0.0
2021-02-04 18:00:00,10.8,106.7,0,1,0.44988614,0.24085796,296.7439,299.06982,48.842194,0,1,0.0,0,1,0.0,0.0
2021-02-04 19:00:00,10.8,106.7,0,1,0.78584,0.0313813,296.49243,298.77637,37.72661,0,1,0.0,0,1,0.0,0.0
2021-02-04 20:00:00,10.8,106.7,0,1,0.8455267,0.22063082,296.1814,298.10913,37.37291,0,1,0.0,0,1,0.0,0.0
2021-02-04 21:00:00,10.8,106.7,0,1,0.79828715,0.47443926,295.8943,298.16382,36.108124,0,1,0.0,0,1,0.0,0.0
2021-02-04 22:00:00,10.8,106.7,0,1,0.8772024,0.718068,296.3413,297.6665,62.358505,0,1,0.0,0,1,0.0,0.0
2021-02-04 23:00:00,10.8,106.7,0,1,0.6018337,0.8937842,295.45288,296.59985,61.153595,0,1,0.0,0,1,0.0,0.0
2021-02-05 00:00:00,10.8,106.7,0,1,0.27318382,0.66433346,296.13696,297.69263,92.43292,0,1,0.0,0,1,0.0,108531.375
2021-02-05 01:00:00,10.8,106.7,0,1,-0.075707376,0.13593316,295.88623,298.3164,284.9834,0,1,0.0,0,1,0.0,750719.6
2021-02-05 02:00:00,10.8,106.7,0,1,0.26348823,-0.5221104,295.93384,300.97217,587.61865,0,1,0.0,0,1,0.0,1603329.0
2021-02-05 03:00:00,10.8,106.7,0,1,1.105505,-0.9536642,294.03613,301.396,964.948,0,1,0.0,0,1,0.0,2353524.0
2021-02-05 04:00:00,10.8,106.7,0,1,1.3425846,-1.2175779,294.00195,301.99487,1329.1045,0,1,0.0,0,1,0.0,2912167.0
2021-02-05 05:00:00,10.8,106.7,0,1,0.92095,-1.1238909,294.24146,304.3181,1485.9934,0,1,1.0491267e-06,0,1,3.910359e-06,3068208.0
2021-02-05 06:00:00,10.8,106.7,0,1,0.7509782,-0.8895214,294.41016,304.72974,1449.7568,0,1,5.484031e-06,0,1,2.0028674e-05,2820818.0
2021-02-05 07:00:00,10.8,106.7,0,1,0.7263817,-0.5212559,294.35767,304.77466,1360.9375,0,1,9.08412e-06,0,1,3.2616997e-05,2337305.0
2021-02-05 08:00:00,10.8,106.7,0,1,0.5190819,-0.0026836242,295.0935,304.83643,1326.8818,0,1,1.0014195e-05,0,1,3.5860343e-05,2002596.0
2021-02-05 09:00:00,10.8,106.7,0,1,0.3805132,0.87137496,294.28027,304.68335,1063.782,0,1,8.01145e-06,0,1,2.8898445e-05,1425309.0
2021-02-05 10:00:00,10.8,106.7,0,1,0.45758706,1.8876972,295.0056,302.4121,633.7551,0,1,1.096817e-06,0,1,4.101121e-06,853123.2
2021-02-05 11:00:00,10.8,106.7,0,1,-0.41676205,2.5695248,295.2505,301.53833,374.62598,0,1,9.5375015e-08,0,1,3.8150017e-07,202484.0
2021-02-05 12:00:00,10.8,106.7,0,1,-0.7949424,3.0504322,295.43237,301.08398,336.65137,0,1,0.0,0,1,0.0,0.0
2021-02-05 13:00:00,10.8,106.7,0,1,-1.3218155,2.8984241,294.7871,299.8396,309.4807,0,1,0.0,0,1,0.0,0.0
2021-02-05 14:00:00,10.8,106.7,0,1,-1.7071781,2.3758554,294.66748,299.2312,293.43506,0,1,0.0,0,1,0.0,0.0
2021-02-05 15:00:00,10.8,106.7,0,1,-1.7355833,1.7005501,295.4048,299.43457,276.33398,0,1,0.0,0,1,0.0,0.0
2021-02-05 16:00:00,10.8,106.7,0,1,-1.4452734,1.0662098,295.37622,299.2976,244.3369,0,1,0.0,0,1,0.0,0.0
2021-02-05 17:00:00,10.8,106.7,0,1,-1.0450468,0.7876325,294.8081,298.66064,190.98695,0,1,0.0,0,1,0.0,0.0
2021-02-05 18:00:00,10.8,106.7,0,1,-0.91161853,0.8560284,294.78296,298.0415,141.05916,0,1,0.0,0,1,0.0,0.0
2021-02-05 19:00:00,10.8,106.7,0,1,-0.80701715,0.96334314,294.96973,297.96973,111.773865,0,1,0.0,0,1,0.0,0.0
2021-02-05 20:00:00,10.8,106.7,0,1,-0.7374899,0.96112454,295.22046,297.65308,89.003784,0,1,0.0,0,1,0.0,0.0
2021-02-05 21:00:00,10.8,106.7,0,1,-0.6889131,0.4406309,294.91895,297.6565,73.30237,0,1,0.0,0,1,0.0,0.0
2021-02-05 22:00:00,10.8,106.7,0,1,-0.15162092,0.13793886,295.00342,297.46362,64.79318,0,1,0.0,0,1,0.0,0.0
2021-02-05 23:00:00,10.8,106.7,0,1,0.020004079,-0.3932624,294.97803,297.33374,46.290558,0,1,0.0,0,1,0.0,0.0
2021-02-06 00:00:00,10.8,106.7,0,1,0.21234697,-0.5462175,295.0127,297.31274,97.77933,0,1,0.0,0,1,0.0,110323.44
2021-02-06 01:00:00,10.8,106.7,0,1,0.24141926,-0.75230885,295.0918,298.00293,345.37964,0,1,0.0,0,1,0.0,776589.3
2021-02-06 02:00:00,10.8,106.7,0,1,0.4497925,-1.131072,295.38745,301.23682,545.9426,0,1,0.0,0,1,0.0,1606925.0
2021-02-06 03:00:00,10.8,106.7,0,1,0.6371383,-1.129159,293.97778,302.0952,763.0388,0,1,0.0,0,1,0.0,2360052.0
2021-02-06 04:00:00,10.8,106.7,0,1,0.49437433,-1.0207663,293.90234,302.52832,1094.2488,0,1,0.0,0,1,0.0,2918016.0
2021-02-06 05:00:00,10.8,106.7,0,1,0.3449586,-0.8816062,294.01343,303.81177,1355.1743,0,1,2.8610168e-07,0,1,8.582582e-07,3230014.0
2021-02-06 06:00:00,10.8,106.7,0,1,-0.049125586,-0.7025111,294.5564,304.97095,1571.3989,0,1,0.0,0,1,0.0,2938031.0
2021-02-06 07:00:00,10.8,106.7,0,1,-0.1877333,-0.33473885,294.55103,305.51953,1588.761,0,1,1.239684e-06,0,1,4.6726827e-06,2464121.0
2021-02-06 08:00:00,10.8,106.7,0,1,-0.48554033,0.1652335,294.85107,304.79224,1489.1909,0,1,6.8664713e-06,0,1,2.4890964e-05,1966226.0
2021-02-06 09:00:00,10.8,106.7,0,1,-0.45141357,1.2272758,294.3899,304.4978,1263.0168,0,1,1.8596138e-06,0,1,6.67555e-06,1404769.0
2021-02-06 10:00:00,10.8,106.7,0,1,-0.4124447,2.4062653,295.4944,302.42944,833.79956,0,1,7.391156e-07,0,1,2.5749614e-06,804172.8
2021-02-06 11:00:00,10.8,106.7,0,1,-0.8528308,3.0526857,295.54077,301.84717,418.031,0,1,0.0,0,1,0.0,196467.06
2021-02-06 12:00:00,10.8,106.7,0,1,-1.3439665,3.056489,295.5442,301.32544,400.86035,0,1,0.0,0,1,0.0,0.0
2021-02-06 13:00:00,10.8,106.7,0,1,-1.4003258,2.4889774,295.10864,300.62842,366.92065,0,1,0.0,0,1,0.0,0.0
2021-02-06 14:00:00,10.8,106.7,0,1,-1.046751,1.857708,294.14404,299.094,325.12378,0,1,0.0,0,1,0.0,0.0
2021-02-06 15:00:00,10.8,106.7,0,1,-0.4940576,1.4946918,295.20386,299.656,255.27579,0,1,0.0,0,1,0.0,0.0
2021-02-06 16:00:00,10.8,106.7,0,1,0.018337172,1.1865606,294.9502,299.67822,154.95744,0,1,1.9074275e-07,0,1,7.6297107e-07,0.0
2021-02-06 17:00:00,10.8,106.7,0,1,0.46269238,0.9916869,294.7041,299.38843,81.02817,0,1,1.6690853e-07,0,1,6.6763414e-07,0.0
2021-02-06 18:00:00,10.8,106.7,0,1,0.51272947,0.5677735,294.91553,299.19653,71.29123,0,1,5.245598e-07,0,1,2.0982388e-06,0.0
2021-02-06 19:00:00,10.8,106.7,0,1,0.5823362,0.46319413,295.4453,299.156,79.983,0,1,0.0,0,1,0.0,0.0
2021-02-06 20:00:00,10.8,106.7,0,1,0.87321794,0.37188554,295.24097,298.8772,84.80765,0,1,0.0,0,1,0.0,0.0
2021-02-06 21:00:00,10.8,106.7,0,1,1.1238317,0.122440696,294.98926,298.54956,84.99339,0,1,0.0,0,1,0.0,0.0
2021-02-06 22:00:00,10.8,106.7,0,1,0.96804696,0.30558366,295.77734,298.33643,81.14786,0,1,0.0,0,1,0.0,0.0
2021-02-06 23:00:00,10.8,106.7,0,1,0.8649884,0.17586052,295.5442,297.93652,69.563675,0,1,0.0,0,1,0.0,0.0
2021-02-07 00:00:00,10.8,106.7,0,1,0.8836344,-0.3542316,295.1709,297.99658,126.429306,0,1,0.0,0,1,0.0,107673.75
2021-02-07 01:00:00,10.8,106.7,0,1,0.50623417,-0.49593526,295.25024,298.49463,411.0354,0,1,0.0,0,1,0.0,763417.44
2021-02-07 02:00:00,10.8,106.7,0,1,0.05358568,-0.7229537,295.3733,300.813,621.96655,0,1,0.0,0,1,0.0,1549501.0
2021-02-07 03:00:00,10.8,106.7,0,1,-0.15542412,-1.0725517,294.02856,301.2439,809.6548,0,1,0.0,0,1,0.0,2230651.0
2021-02-07 04:00:00,10.8,106.7,0,1,-0.10077286,-1.3188419,294.1787,302.17334,1045.4368,0,1,0.0,0,1,0.0,2724931.0
2021-02-07 05:00:00,10.8,106.7,0,1,-0.09557462,-1.3060141,293.8833,303.55518,1215.6924,0,1,3.8150017e-07,0,1,1.5260002e-06,2458648.0
