system:index,aod_055_mean,aod_055_median,aod_055_point,date,pixel_count,.geo
MCD19A2_A2021270_h28v07_061_2023150212637_01,0.37251690747002764,0.371,,2021-09-27,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021283_h28v07_061_2023151034846_02,0.27130696869762666,0.278,,2021-10-10,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021292_h28v07_061_2023151072347_02,0.36362982832618024,0.354,,2021-10-19,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021295_h28v07_061_2023151082344_01,0.3441783783783784,0.35100000000000003,,2021-10-22,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021301_h28v07_061_2023151105451_02,0.2854229440221147,0.274,,2021-10-28,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021302_h28v07_061_2023151112718_01,0.3785759345794393,0.382,,2021-10-29,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021302_h28v07_061_2023151112718_03,0.30061983471074377,0.303,,2021-10-29,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021303_h28v07_061_2023151113750_03,0.4057142857142857,0.40900000000000003,,2021-10-30,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021306_h28v07_061_2023151124557_01,0.3596765961311415,0.36633333333333334,,2021-11-02,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021306_h28v07_061_2023151124557_02,0.421,0.421,,2021-11-02,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021307_h28v07_061_2023151130618_02,0.39811111111111114,0.399,,2021-11-03,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021308_h28v07_061_2023151132527_01,0.29510714285714296,0.28800000000000003,,2021-11-04,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021309_h28v07_061_2023151134838_01,0.398,0.398,,2021-11-05,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021310_h28v07_061_2023151140814_02,0.38134989887315807,0.374,,2021-11-06,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021311_h28v07_061_2023151142954_01,1.0294218200100553,1.018,,2021-11-07,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021312_h28v07_061_2023151145302_03,0.19388424763634426,0.195,0.271,2021-11-08,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021312_h28v07_061_2023151145302_04,0.20563952900747928,0.199,,2021-11-08,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021316_h28v07_061_2023151165657_02,0.23125238981998752,0.23900000000000002,,2021-11-12,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021316_h28v07_061_2023151165657_03,0.3313333333333333,0.327,,2021-11-12,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021325_h28v07_061_2023151195723_01,0.36952398866523345,0.362,,2021-11-21,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021327_h28v07_061_2023151204540_01,0.38612499999999994,0.3845,,2021-11-23,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021330_h28v07_061_2023151215801_02,0.2505118644067797,0.247,,2021-11-26,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021332_h28v07_061_2023151224755_02,0.35371678914641047,0.356,,2021-11-28,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021339_h28v07_061_2023152014455_02,0.14064393843345077,0.134,0.125,2021-12-05,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021339_h28v07_061_2023152014455_03,0.40731742424242434,0.402,,2021-12-05,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021340_h28v07_061_2023152021202_01,0.313874660364721,0.315,0.379,2021-12-06,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021340_h28v07_061_2023152021202_02,0.34199999999999997,0.35250000000000004,,2021-12-06,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021341_h28v07_061_2023152023809_04,0.36085631067961166,0.363,,2021-12-07,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021342_h28v07_061_2023152030027_01,0.33077260379222373,0.331,,2021-12-08,143,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2021342_h28v07_061_2023152030027_02,0.4007684824902724,0.402,,2021-12-08,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
