date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
28-02-2021 11:00,2,22.64333333,11.08166667,56.927,664.107,49.0261,393,29.25833333,68.28833333
28-02-2021 12:00,2,21.86,10.845,59.44618333,645.007,49.0261,393,29.33833333,68.04166667
28-02-2021 13:00,2,21.18166667,10.85833333,60.00236667,663.534,49.3084,393,29.48666667,67.87833333
28-02-2021 14:00,2,19.175,9.871666667,58.3011,643.861,47.8028,393.8733333,29.62,67.43333333
28-02-2021 15:00,2,18.175,9.208333333,59.70791667,648.636,48.90063333,393,29.49,67.88333333
28-02-2021 16:00,2,20.01666667,9.626666667,58.79185,638.131,48.0851,393.8733333,29.685,66.645
28-02-2021 17:00,2,23.825,11.01833333,59.0863,618.84,47.86553333,393,29.61833333,66.54166667
28-02-2021 18:00,2,25.20666667,11.83166667,61.01658333,637.367,49.3084,393,29.49166667,66.65666667
28-02-2021 19:00,2,23.24166667,11.17166667,62.55426667,678.241,51.12766667,382.9566667,29.33833333,66.875
28-02-2021 20:00,2,23.01166667,11.385,64.1901,685.881,52.10003333,371.6033333,29.3,67.63333333
28-02-2021 21:00,2,22.09833333,11.2,63.6012,687.6,52.35096667,368.9833333,29.24,68.51666667
28-02-2021 22:00,2,20.93833333,10.78,63.56848333,637.749,52.82146667,366.8,29.145,69.54166667
28-02-2021 23:00,2,20.595,10.765,62.52155,605.088,52.85283333,362.87,29.06333333,70.01833333
01-03-2021 00:00,2,21.04333333,11.01166667,61.96536667,602.032,52.53916667,355.01,29.00166667,70.17166667
01-03-2021 01:00,2,21.07666667,11.055,61.34375,611.009,52.3196,344.9666667,28.95333333,70.34666667
01-03-2021 02:00,2,19.82833333,10.38166667,60.32953333,602.414,52.00593333,341.4733333,28.87333333,70.28833333
01-03-2021 03:00,2,18.59833333,9.95,60.19866667,591.909,52.06866667,340.6,28.85833333,70.13
01-03-2021 04:00,2,19.27166667,10.23666667,59.83878333,591.336,51.44133333,341.0366667,28.76833333,70.135
01-03-2021 05:00,2,18.08166667,9.916666667,61.57276667,596.875,51.755,344.53,28.76,70.135
01-03-2021 06:00,2,17.77166667,10.06833333,60.68941667,666.781,52.25686667,355.4466667,28.78666667,70.20166667
01-03-2021 07:00,2,18.63,10.375,59.4789,754.259,51.81773333,368.9833333,28.87166667,70.07833333
01-03-2021 08:00,2,26.94666667,12.76833333,70.43898333,768.966,50.21803333,366.3633333,28.86333333,69.10666667
01-03-2021 09:00,2,30.15789474,12.93157895,92.05436842,645.9821053,53.19126316,322.6736842,28.87368421,67.34210526
01-03-2021 10:00,2,107.4064516,49.69677419,65.41222581,664.3103226,47.35354839,282.283871,26.77096774,63.08064516
01-03-2021 11:00,2,97.85,45.35833333,63.9938,619.604,47.64596667,289.51,26.88333333,61.935
01-03-2021 12:00,2,94.36666667,43.075,60.853,683.971,47.20683333,303.92,26.86166667,62.42666667
01-03-2021 13:00,2,77.74833333,36.37166667,62.816,711.857,51.5668,313.9633333,26.99333333,63.48
01-03-2021 14:00,2,75.63333333,35.46166667,51.88863333,705.172,43.9447,328.3733333,27.70833333,59.39666667
01-03-2021 15:00,2,75.825,35.90166667,53.32816667,623.233,43.3801,316.5833333,27.66666667,59.045
01-03-2021 16:00,2,77.485,36.12,60.6567,661.433,48.96336667,318.33,27.74833333,60.705
01-03-2021 17:00,2,64.30166667,29.37333333,64.05923333,704.408,52.75873333,349.77,28.805,61.09
01-03-2021 18:00,2,50.295,23.29,61.21288333,776.224,51.0022,367.6733333,29.03666667,62.94
01-03-2021 19:00,2,38.38166667,17.975,64.1901,781.19,53.637,369.42,29.09833333,65.08333333
01-03-2021 20:00,2,29.72666667,14.01333333,66.44755,708.61,55.01713333,364.6166667,29.035,66.84833333
01-03-2021 21:00,2,25.35932203,12.53389831,66.10984746,654.579661,55.79013559,363.2474576,29.05932203,67.94067797
01-03-2021 22:00,2,23.42666667,11.93166667,63.43761667,644.625,54.51526667,357.63,29.035,68.56666667
01-03-2021 23:00,2,23,11.69333333,61.50733333,640.423,53.13513333,346.7133333,29.025,68.845
02-03-2021 00:00,2,21.54833333,11.38166667,60.19866667,638.895,52.10003333,348.8966667,29.02833333,69.06333333
02-03-2021 01:00,2,21.34333333,11.24666667,58.79185,658.759,52.0373,355.4466667,29.095,69.13166667
02-03-2021 02:00,2,20.72833333,11.11333333,58.62826667,668.309,51.40996667,363.7433333,29.03666667,69.36166667
02-03-2021 03:00,2,20.17833333,10.99333333,58.85728333,670.792,51.755,366.3633333,29,69.62666667
02-03-2021 04:00,2,21.06,11.07333333,59.05358333,691.611,51.6609,366.8,29,69.83
02-03-2021 05:00,2,22.235,11.475,59.54433333,738.597,52.2255,368.11,28.92333333,70.05166667
02-03-2021 06:00,2,24.63666667,12.35833333,59.77335,770.303,52.4137,374.66,28.9,70.25
02-03-2021 07:00,2,24.57166667,12.40333333,59.24988333,830.086,52.44506667,392.5633333,28.99166667,70.17666667
02-03-2021 08:00,2,35.97333333,15.52166667,69.35933333,799.526,54.32706667,382.52,28.87333333,70.47333333
02-03-2021 09:00,2,50.63333333,21.62,107.0162167,683.78,65.36813333,313.5266667,27.75166667,72.99166667
